image_name,x,y,radius,prediction,GMI
00001b2b5609af42ab0ab276dd4cd41c3e7745b5.jpg,77,87,5,0.9999914,0.2680976105176303
00039ed67c14391535d5ac933cc4854619849738.jpg,37,21,5,1.0,0.0
0007e4f8f2e61aa10a7cdb647e8ed346a9b4398a.jpg,24,48,2,1.0,0.0
000aa7c34dc319d936d36f7f4c257812d3d03cdf.jpg,11,30,5,1.0,0.0
0013e3d4705d909a5fbd9adfbd3ce863e0049fa8.jpg,24,46,2,1.0,0.0
0015755081704e97e3f3f287240e5e57597f23ca.jpg,23,81,2,1.0,0.0
0018f45df78db5e21d0b52f4d97a1f6540786aab.jpg,25,92,3,0.8878805,0.2811556054745656
002412db95bae581b731aaec4e6c9ad8becf4e9a.jpg,70,66,3,1.0,0.0
0031c1a3f75e9da8a7fd3d1d7c9d87b6e2552ab8.jpg,2,57,2,0.99997216,0.2627248087629757
003706c6d4712397d6851c927970dec1f0d0da28.jpg,37,9,5,1.0,0.0
00387920d5d8a36f98d21db8234ca08e3e0b5fd0.jpg,51,53,5,1.0,0.0
005065fc263e4f4b966e2f98ffa8a585e4a5ad43.jpg,28,16,3,1.0,0.0
0050fba090ba4debdecf4509a963fb328db776f9.jpg,23,13,5,1.0,0.0
0059d8e5018a03b8af4454b23f5f429476c392e4.jpg,82,92,4,0.3579005,0.1925894086179376
005b40ca27e1ecfc88705830e04ecd4df92e9a88.jpg,15,61,2,1.0,0.0
005e7fb8cbb3ac1b0f6a2eec45674ad5f2410f07.jpg,59,31,3,1.0,0.0
0063920bcf92c31596fe42e1be4401c58ffb063a.jpg,47,41,4,1.0,0.0
0069beab1504f4dbb63f51682c743ac12c477c4a.jpg,13,74,2,0.9999946,0.5620798481743359
006b0b9a6bd1716e4a65cf902c4ed181dbaafa3b.jpg,86,47,2,0.5323457,0.3176734871698254
006df4d155775dfd6319528812a257729ec87b23.jpg,57,25,4,1.0,0.0
00745ec12238ce713c9760f4c632bc9348d2a5b3.jpg,70,85,3,0.9999917,0.23515519588391512
007fcf180a28349702a4a6749e20554e0cb326b2.jpg,28,84,5,1.0,0.0
0087b7acf3cda167b246f234272b9e9acc107c9e.jpg,50,50,5,1.0,0.0
009d4146945621cbd1d2c79f64c959fda9f10d23.jpg,72,65,2,1.0,0.0
009eee478b75b68e30852dba706ab3ee9d87dc7c.jpg,6,86,2,0.4638192,0.2860815416488184
00a092799b526521cdf35aab8ee306041f466f7a.jpg,69,67,2,0.9999997,0.19770088351714188
00a3dc7e24407ce9673a3eacf38ab1cafa2a8a36.jpg,3,54,2,0.98372763,0.3220326523773952
00acdfb1ac594b002ce1306d8fe9f8a16ab02ceb.jpg,73,7,2,1.0,0.0
00b149334c94feb81a13c5ead3c6a92600797eae.jpg,53,5,3,1.0,0.0
00b9c0592a7e3ebf73630d6819411d9b56bab175.jpg,53,68,2,1.0,0.0
00c05e1527a98f87708681500964a42daa596618.jpg,87,49,2,0.23611778,0.0932578638049715
00c683a18d74027518d02dc6c63894ea5b2fe5b5.jpg,12,71,4,1.0,0.0
00cf9cc4b6ef8872b848283a87581d0ec357372d.jpg,45,9,2,1.0,0.0
00d4f78182a5c60615fcc6d50b442d18982b2ed0.jpg,17,32,3,0.9999998,0.21686397679372568
00da9cfbdc1b02f7919689bf250b4f4ac752d0eb.jpg,11,85,3,0.98746884,0.7201163852750296
00daa47c3baf2b504a0ec83f53b64f475dcbabef.jpg,46,73,2,1.0,0.0
00e603f0287a36e471f0441ec359c97697ccc704.jpg,52,27,3,1.0,0.0
00efe48baba18afb57870a5e8ae6bbabbe59ddf1.jpg,32,52,3,1.0,0.0
00fbc09d2bd8aeda14407e52de2aaf342624ff30.jpg,82,58,5,1.0,0.0
0109150cb8b8b703b95234d8aa597efc51a2139a.jpg,42,87,5,1.0,0.0
010fd1d36f89041a6ffca32e95ea70ed43211e96.jpg,51,25,4,1.0,0.0
012488732daaa22322ffbf1624d475e24c436e67.jpg,56,76,2,1.0,0.0
0125f32380007db2087f7a5c4874d588bcc9afec.jpg,35,58,5,1.0,0.0
012b25ccf936dd313322234c8884c283f8bf1e97.jpg,30,67,2,0.99999994,0.15706336701716092
0133cbce7f4318159b796a144f2f6791231d7632.jpg,59,22,4,1.0,0.0
013b2150491b9647318df034cc0d9a12ce2247c0.jpg,65,33,4,1.0,0.0
013fef703928c2a914944b657f13af45aa406f85.jpg,10,86,3,0.5340015,0.476513919270385
01477cf3dc764de7caa806aa903722855047020d.jpg,88,42,5,1.0,0.0
0169ba29f8d6213c40e0a30e61f653fa2f387b97.jpg,33,41,4,1.0,0.0
016c989c8a46d5c108b7fb26d95261ed8ed4fece.jpg,75,59,5,1.0,0.0
0171e4b32ab204975a734d067a1136e64f9c3c4c.jpg,49,37,3,1.0,0.0
0173c3e586ae628a891c4daf712cb24ad37e80d0.jpg,20,79,4,0.99999976,0.28182534939225906
017a7bd7c231c00ede87335102ba0849361f5a4e.jpg,82,76,5,1.0,0.0
018599a74f0c8c1b92842b12e75aba4cae490a87.jpg,70,78,2,1.0,0.0
018b2aa5ae3c425caa16162ad3d530ceba33f209.jpg,68,66,2,1.0,0.0
018fc128a0452b750e2ff22f14f8c79b2c2f2638.jpg,94,80,2,0.14541994,0.1945462806286134
019057d989251c0b53bbedbce2f93f34a391d1d1.jpg,59,64,5,1.0,0.0
019a61ed604c1105800295870206e96cded083de.jpg,86,23,2,0.49984494,0.2443374640247598
01a07d4ad9c7fb8381a3132f640f6ffe2ba92445.jpg,48,83,2,1.0,0.0
01c0ba9a9160fa8a6ecde1d440dbe8c640b39d31.jpg,92,20,3,0.66470635,0.3290617091428534
01cd629c8ac4273ac0c6d20e6a89cfa1bdce3f63.jpg,25,38,5,1.0,0.0
01cea157209b5f62a0a09c51893db9dc6ca47ddb.jpg,75,15,3,0.9999999,0.47230562455389247
01d079dd953b79d8a18e84c5ecbbf0ed746311ab.jpg,40,59,5,1.0,0.0
01d5dbc659cad27a66398317d07e611171e8fffa.jpg,51,92,2,0.8748114,0.16385704248610738
01d5e09a1f65ffe5780cbc853bbacdbf6024ff0d.jpg,52,37,4,1.0,0.0
01e57db20cbc6b8670586d32dd8c0fbd5814441f.jpg,28,72,5,1.0,0.0
01ee8addce1fd29f47c8bfbe4eb050efa2d42d64.jpg,37,25,3,1.0,0.0
01efe7e5b7bd88acf600643a761a52ac77f1c4a2.jpg,39,71,4,1.0,0.0
01f973bd72d824a379bf34451ca91e19871c6c4a.jpg,59,45,3,1.0,0.0
02008d9f85042e58112457de131a75188ca86f20.jpg,68,31,2,1.0,0.0
02150f2541757b50147df9f9e5fd5a83b6af1812.jpg,9,11,2,0.9999845,0.350804259375597
021fef9fb5df6c7aae3d4f995aa55da4587bad08.jpg,88,19,4,0.652108,0.19734611208388594
0227a90d77bed3e06ec1ee1e2b8714535786c408.jpg,59,91,3,0.87620026,0.3619055257041957
0230eb136c2aa1dee186cee5364ab8d792f7ca5b.jpg,59,10,3,1.0,0.0
